iter:66, x:0.602, y:-0.071, z:-4.273, phi:-0.003, theta:-0.535, psi:0.018 
iter:67, x:0.602, y:-0.071, z:-4.273, phi:-0.003, theta:-0.535, psi:0.018 
iter:68, x:0.720, y:-0.077, z:-4.462, phi:-0.001, theta:-0.544, psi:0.018 
iter:69, x:0.720, y:-0.077, z:-4.462, phi:-0.001, theta:-0.544, psi:0.018 
iter:70, x:0.720, y:-0.077, z:-4.462, phi:-0.001, theta:-0.544, psi:0.018 
iter:71, x:0.720, y:-0.077, z:-4.462, phi:-0.001, theta:-0.544, psi:0.018 
iter:72, x:0.720, y:-0.077, z:-4.462, phi:-0.001, theta:-0.544, psi:0.018 
iter:73, x:0.720, y:-0.077, z:-4.462, phi:-0.001, theta:-0.544, psi:0.018 
iter:74, x:0.720, y:-0.077, z:-4.462, phi:-0.001, theta:-0.544, psi:0.018 
iter:75, x:0.720, y:-0.077, z:-4.462, phi:-0.001, theta:-0.544, psi:0.018 
iter:76, x:0.720, y:-0.077, z:-4.462, phi:-0.001, theta:-0.544, psi:0.018 
iter:77, x:0.720, y:-0.077, z:-4.462, phi:-0.001, theta:-0.544, psi:0.018 
iter:78, x:1.474, y:-0.104, z:-5.417, phi:0.021, theta:-0.564, psi:0.009 
iter:79, x:1.474, y:-0.104, z:-5.417, phi:0.021, theta:-0.564, psi:0.009 
iter:80, x:1.656, y:-0.108, z:-5.607, phi:0.028, theta:-0.565, psi:0.004 
iter:81, x:1.656, y:-0.108, z:-5.607, phi:0.028, theta:-0.565, psi:0.004 
iter:82, x:1.656, y:-0.108, z:-5.607, phi:0.028, theta:-0.565, psi:0.004 
iter:83, x:1.656, y:-0.108, z:-5.607, phi:0.028, theta:-0.565, psi:0.004 
iter:84, x:1.656, y:-0.108, z:-5.607, phi:0.028, theta:-0.565, psi:0.004 
iter:85, x:1.656, y:-0.108, z:-5.607, phi:0.028, theta:-0.565, psi:0.004 
iter:86, x:2.263, y:-0.117, z:-6.165, phi:0.061, theta:-0.565, psi:-0.021 
iter:87, x:2.372, y:-0.118, z:-6.256, phi:0.068, theta:-0.565, psi:-0.027 
iter:88, x:2.372, y:-0.118, z:-6.256, phi:0.068, theta:-0.565, psi:-0.027 
iter:89, x:2.596, y:-0.119, z:-6.434, phi:0.082, theta:-0.563, psi:-0.043 
iter:90, x:2.596, y:-0.119, z:-6.434, phi:0.082, theta:-0.563, psi:-0.043 
iter:91, x:2.596, y:-0.119, z:-6.434, phi:0.082, theta:-0.563, psi:-0.043 
iter:92, x:2.948, y:-0.119, z:-6.694, phi:0.106, theta:-0.558, psi:-0.074 
iter:93, x:2.948, y:-0.119, z:-6.694, phi:0.106, theta:-0.558, psi:-0.074 
iter:94, x:2.948, y:-0.119, z:-6.694, phi:0.106, theta:-0.558, psi:-0.074 
iter:95, x:2.948, y:-0.119, z:-6.694, phi:0.106, theta:-0.558, psi:-0.074 
iter:96, x:3.450, y:-0.114, z:-7.031, phi:0.138, theta:-0.551, psi:-0.123 
iter:97, x:3.450, y:-0.114, z:-7.031, phi:0.138, theta:-0.551, psi:-0.123 
iter:98, x:3.450, y:-0.114, z:-7.031, phi:0.138, theta:-0.551, psi:-0.123 
iter:99, x:3.450, y:-0.114, z:-7.031, phi:0.138, theta:-0.551, psi:-0.123 
iter:100, x:3.450, y:-0.114, z:-7.031, phi:0.138, theta:-0.551, psi:-0.123 
iter:101, x:3.450, y:-0.114, z:-7.031, phi:0.138, theta:-0.551, psi:-0.123 
iter:102, x:3.450, y:-0.114, z:-7.031, phi:0.138, theta:-0.551, psi:-0.123 
iter:103, x:3.450, y:-0.114, z:-7.031, phi:0.138, theta:-0.551, psi:-0.123 
iter:104, x:3.450, y:-0.114, z:-7.031, phi:0.138, theta:-0.551, psi:-0.123 
iter:105, x:3.450, y:-0.114, z:-7.031, phi:0.138, theta:-0.551, psi:-0.123 
iter:106, x:4.851, y:-0.083, z:-7.809, phi:0.198, theta:-0.524, psi:-0.292 
iter:107, x:5.002, y:-0.078, z:-7.881, phi:0.203, theta:-0.521, psi:-0.313 
