iter:65, x:0.871, y:-0.069, z:-5.916, phi:0.006, theta:0.562, psi:0.003 
iter:66, x:0.940, y:-0.071, z:-6.017, phi:0.007, theta:0.563, psi:0.008 
iter:67, x:1.001, y:-0.073, z:-6.103, phi:0.009, theta:0.564, psi:0.011 
iter:68, x:1.075, y:-0.075, z:-6.203, phi:0.010, theta:0.565, psi:0.017 
iter:69, x:1.140, y:-0.077, z:-6.289, phi:0.012, theta:0.565, psi:0.022 
iter:70, x:1.230, y:-0.080, z:-6.402, phi:0.015, theta:0.566, psi:0.030 
iter:71, x:1.288, y:-0.081, z:-6.473, phi:0.017, theta:0.567, psi:0.036 
iter:72, x:1.382, y:-0.084, z:-6.584, phi:0.019, theta:0.567, psi:0.046 
iter:73, x:1.467, y:-0.086, z:-6.681, phi:0.023, theta:0.567, psi:0.057 
iter:74, x:1.541, y:-0.088, z:-6.763, phi:0.026, theta:0.568, psi:0.067 
iter:75, x:1.629, y:-0.090, z:-6.856, phi:0.031, theta:0.568, psi:0.084 
iter:76, x:1.706, y:-0.092, z:-6.936, phi:0.034, theta:0.568, psi:0.095 
iter:77, x:1.811, y:-0.095, z:-7.039, phi:0.040, theta:0.568, psi:0.116 
iter:78, x:1.878, y:-0.097, z:-7.103, phi:0.044, theta:0.567, psi:0.130 
iter:79, x:1.987, y:-0.100, z:-7.205, phi:0.051, theta:0.567, psi:0.154 
iter:80, x:2.070, y:-0.102, z:-7.279, phi:0.055, theta:0.566, psi:0.173 
iter:81, x:2.169, y:-0.105, z:-7.366, phi:0.061, theta:0.566, psi:0.198 
iter:82, x:2.256, y:-0.108, z:-7.438, phi:0.066, theta:0.565, psi:0.220 
iter:83, x:2.359, y:-0.111, z:-7.522, phi:0.073, theta:0.564, psi:0.251 
iter:84, x:2.449, y:-0.114, z:-7.594, phi:0.077, theta:0.563, psi:0.271 
iter:85, x:2.571, y:-0.118, z:-7.687, phi:0.083, theta:0.562, psi:0.305 
iter:86, x:2.680, y:-0.122, z:-7.768, phi:0.089, theta:0.561, psi:0.335 
iter:87, x:2.775, y:-0.126, z:-7.837, phi:0.093, theta:0.560, psi:0.363 
iter:88, x:2.888, y:-0.130, z:-7.916, phi:0.099, theta:0.558, psi:0.396 
iter:89, x:2.987, y:-0.135, z:-7.984, phi:0.103, theta:0.557, psi:0.425 
iter:90, x:3.120, y:-0.141, z:-8.072, phi:0.109, theta:0.555, psi:0.465 
iter:91, x:3.206, y:-0.145, z:-8.127, phi:0.112, theta:0.554, psi:0.490 
iter:92, x:3.344, y:-0.153, z:-8.215, phi:0.117, theta:0.552, psi:0.532 
iter:93, x:3.450, y:-0.159, z:-8.280, phi:0.121, theta:0.551, psi:0.564 
iter:94, x:3.575, y:-0.167, z:-8.355, phi:0.125, theta:0.549, psi:0.602 
iter:95, x:3.721, y:-0.178, z:-8.440, phi:0.129, theta:0.547, psi:0.646 
iter:96, x:3.814, y:-0.185, z:-8.493, phi:0.131, theta:0.546, psi:0.674 
iter:97, x:3.965, y:-0.197, z:-8.577, phi:0.135, theta:0.544, psi:0.719 
iter:98, x:4.060, y:-0.206, z:-8.630, phi:0.137, theta:0.543, psi:0.748 
